Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z
1717.408,1.0375,-0.0901,8.6045,5.063,634.3655
1717.408,1.0375,-0.0901,8.6045,5.063,634.3655
1717.408,1.0375,-0.0901,8.6045,5.063,634.3655
1717.408,1.0375,-0.0901,8.6045,5.063,634.3655
1717.408,1.0375,-0.0901,8.6045,5.063,634.3655
1717.408,1.0375,-0.0901,8.6045,5.063,634.3655
1717.408,0.813,-0.0901,8.6045,5.063,634.3655
1717.408,0.813,-0.20750000000000002,8.6045,5.063,634.3655
1717.408,0.813,-0.20750000000000002,-20.1165,5.063,634.3655
1717.408,1.0375,-0.20750000000000002,-20.1165,-24.6315,634.3655
1717.408,1.4865,-0.0901,8.6045,5.063,634.3655
1717.408,1.0375,-0.0901,37.3255,5.063,634.3655
1717.408,0.813,-0.20750000000000002,8.6045,5.063,634.3655
1717.408,1.0375,-0.20750000000000002,8.6045,5.063,634.3655
1717.408,1.0375,-0.20750000000000002,-20.1165,-24.6315,634.3655
,0.813,,,,634.3655
1717.408,0.813,-0.0901,8.6045,5.063,634.3655
1717.408,1.0375,-0.0901,-20.1165,5.063,634.3655
1717.408,1.0375,0.027649999999999997,8.6045,5.063,634.3655
1717.408,1.0375,-0.0901,8.6045,5.063,634.3655
1717.408,1.0375,-0.0901,8.6045,5.063,634.3655
1717.408,1.0375,-0.0901,8.6045,5.063,634.3655
1717.408,1.0375,-0.0901,8.6045,5.063,634.3655
1717.408,0.813,-0.0901,37.3255,5.063,634.3655
1717.408,0.813,-0.20750000000000002,37.3255,5.063,634.3655
1717.408,0.813,-0.20750000000000002,8.6045,5.063,634.3655
1717.408,1.0375,-0.20750000000000002,-20.1165,5.063,634.3655
1717.408,1.4865,-0.20750000000000002,8.6045,5.063,634.3655
1717.408,1.0375,-0.20750000000000002,8.6045,5.063,634.3655
1717.408,0.813,-0.20750000000000002,8.6045,5.063,634.3655
1717.408,1.0375,-0.20750000000000002,-20.1165,5.063,634.3655
1717.408,1.0375,-0.20750000000000002,-20.1165,-24.6315,634.3655
1717.408,0.813,-0.0901,-48.8375,5.063,634.3655
1717.408,0.5885,-0.0901,8.6045,5.063,634.3655
1717.408,1.0375,0.027649999999999997,8.6045,5.063,634.3655
1717.408,0.813,0.027649999999999997,8.6045,5.063,634.3655
1717.408,1.0375,0.027649999999999997,8.6045,5.063,634.3655
1717.408,1.0375,-0.0901,8.6045,5.063,634.3655
1717.408,1.0375,-0.0901,8.6045,5.063,634.3655
1717.408,1.0375,-0.0901,8.6045,5.063,634.3655
1717.408,1.0375,-0.0901,8.6045,5.063,634.3655
1717.408,0.813,-0.0901,8.6045,5.063,634.3655
1717.408,0.813,-0.0901,37.3255,5.063,634.3655
1717.408,0.813,-0.20750000000000002,8.6045,5.063,634.3655
1717.408,0.813,-0.20750000000000002,-20.1165,5.063,634.3655
1717.408,1.262,-0.0901,-20.1165,-24.6315,634.3655
1717.408,1.262,-0.0901,37.3255,5.063,634.3655
1717.408,0.813,-0.0901,8.6045,5.063,634.3655
1717.408,1.0375,-0.20750000000000002,8.6045,5.063,634.3655
1717.408,1.0375,-0.20750000000000002,8.6045,5.063,634.3655
1717.408,1.0375,-0.20750000000000002,-20.1165,5.063,634.3655
1717.408,1.0375,-0.20750000000000002,-20.1165,5.063,634.3655
1717.408,0.813,-0.0901,-48.8375,5.063,634.3655
1717.408,0.813,0.027649999999999997,8.6045,5.063,634.3655
1717.408,1.0375,-0.0901,8.6045,5.063,634.3655
1717.408,1.0375,0.027649999999999997,8.6045,5.063,634.3655
1717.408,1.0375,0.027649999999999997,8.6045,5.063,634.3655
1717.408,1.0375,0.027649999999999997,8.6045,5.063,634.3655
1717.408,1.0375,-0.0901,8.6045,5.063,634.3655
1717.408,1.0375,-0.0901,8.6045,5.063,634.3655
1717.408,1.0375,-0.0901,8.6045,5.063,634.3655
1717.408,1.0375,-0.0901,8.6045,5.063,634.3655
1717.408,0.813,-0.0901,37.3255,5.063,634.3655
1717.408,0.813,-0.20750000000000002,8.6045,,634.3655
1717.408,1.0375,-0.20750000000000002,-20.1165,5.063,634.3655
1717.408,1.0375,-0.0901,-48.8375,-24.6315,634.3655
1717.408,1.4865,-0.0901,37.3255,5.063,634.3655
1717.408,0.813,-0.0901,8.6045,-24.6315,634.3655
1717.408,0.813,-0.20750000000000002,8.6045,5.063,634.3655
1717.408,0.813,-0.20750000000000002,8.6045,5.063,634.3655
1717.408,1.0375,-0.20750000000000002,-20.1165,5.063,634.3655
1717.408,1.0375,-0.20750000000000002,-20.1165,-24.6315,634.3655
1717.408,0.813,-0.0901,-20.1165,5.063,634.3655
1717.408,0.813,0.027649999999999997,8.6045,5.063,
1717.408,1.0375,-0.0901,8.6045,5.063,634.3655
1717.408,1.0375,-0.0901,8.6045,5.063,634.3655
1717.408,1.0375,-0.0901,8.6045,5.063,634.3655
1717.408,1.0375,-0.0901,8.6045,5.063,634.3655
1717.408,1.0375,-0.0901,8.6045,5.063,634.3655
1717.408,1.0375,-0.0901,8.6045,5.063,634.3655
1717.408,1.0375,-0.0901,8.6045,5.063,634.3655
1717.408,1.0375,-0.0901,8.6045,5.063,634.3655
1717.408,1.0375,-0.0901,8.6045,5.063,634.3655
1717.408,1.0375,-0.0901,8.6045,5.063,634.3655
1717.408,1.0375,-0.0901,8.6045,5.063,634.3655
1717.408,1.0375,-0.0901,8.6045,5.063,634.3655
1717.408,1.0375,-0.0901,8.6045,5.063,634.3655
1717.408,0.813,-0.0901,8.6045,5.063,634.3655
1717.408,0.813,-0.20750000000000002,8.6045,5.063,634.3655
1717.408,0.813,-0.20750000000000002,8.6045,-24.6315,634.3655
1717.408,1.0375,-0.20750000000000002,8.6045,-24.6315,634.3655
1717.408,1.0375,-0.0901,-20.1165,-24.6315,634.3655
1717.408,1.262,-0.0901,8.6045,5.063,634.3655
1717.408,1.0375,-0.0901,8.6045,5.063,634.3655
1717.408,1.0375,-0.0901,8.6045,5.063,634.3655
1717.408,1.0375,-0.20750000000000002,8.6045,5.063,634.3655
1717.408,1.0375,-0.0901,-20.1165,5.063,634.3655
1717.408,0.813,-0.0901,-20.1165,5.063,634.3655
1717.408,0.813,-0.0901,8.6045,5.063,634.3655
1717.408,1.0375,-0.0901,8.6045,5.063,634.3655
