Token,Fréquence du terme,Fréquence max,Nombre de documents dans la collection,Nombre de documents contenant le terme,log10,Poids du terme (TF-IDF)
queri,8,8,6,4,0.17609125905568124,0.17609125905568124
reformul,3,8,6,2,0.47712125471966244,0.17892047051987342
well-known,1,8,6,1,0.7781512503836436,0.09726890629795545
problem,1,8,6,1,0.7781512503836436,0.09726890629795545
inform,2,8,6,3,0.3010299956639812,0.0752574989159953
retriev,4,8,6,2,0.47712125471966244,0.23856062735983122
(ir),1,8,6,1,0.7781512503836436,0.09726890629795545
aim,1,8,6,2,0.47712125471966244,0.059640156839957804
enhanc,1,8,6,2,0.47712125471966244,0.059640156839957804
singl,1,8,6,1,0.7781512503836436,0.09726890629795545
search,1,8,6,3,0.3010299956639812,0.03762874945799765
success,1,8,6,2,0.47712125471966244,0.059640156839957804
complet,1,8,6,1,0.7781512503836436,0.09726890629795545
rate,1,8,6,1,0.7781512503836436,0.09726890629795545
automat,1,8,6,1,0.7781512503836436,0.09726890629795545
modifi,1,8,6,1,0.7781512503836436,0.09726890629795545
user',1,8,6,2,0.47712125471966244,0.059640156839957804
input,1,8,6,3,0.3010299956639812,0.03762874945799765
query.,1,8,6,1,0.7781512503836436,0.09726890629795545
recent,1,8,6,3,0.3010299956639812,0.03762874945799765
method,1,8,6,2,0.47712125471966244,0.059640156839957804
leverag,2,8,6,3,0.3010299956639812,0.0752574989159953
larg,1,8,6,6,0.0,0.0
languag,1,8,6,6,0.0,0.0
model,2,8,6,5,0.07918124604762482,0.019795311511906204
(llms),1,8,6,2,0.47712125471966244,0.059640156839957804
improv,1,8,6,4,0.17609125905568124,0.022011407381960155
"reformulation,",1,8,6,1,0.7781512503836436,0.09726890629795545
often,1,8,6,1,0.7781512503836436,0.09726890629795545
gener,3,8,6,4,0.17609125905568124,0.06603422214588046
limit,1,8,6,2,0.47712125471966244,0.059640156839957804
redund,1,8,6,1,0.7781512503836436,0.09726890629795545
"expansions,",1,8,6,1,0.7781512503836436,0.09726890629795545
potenti,1,8,6,2,0.47712125471966244,0.059640156839957804
constrain,1,8,6,1,0.7781512503836436,0.09726890629795545
effect,1,8,6,3,0.3010299956639812,0.03762874945799765
captur,2,8,6,2,0.47712125471966244,0.11928031367991561
divers,4,8,6,1,0.7781512503836436,0.3890756251918218
intents.,2,8,6,1,0.7781512503836436,0.1945378125959109
in,1,8,6,6,0.0,0.0
"paper,",1,8,6,4,0.17609125905568124,0.022011407381960155
propos,1,8,6,5,0.07918124604762482,0.009897655755953102
gencrf:,1,8,6,1,0.7781512503836436,0.09726890629795545
cluster,2,8,6,1,0.7781512503836436,0.1945378125959109
framework,2,8,6,1,0.7781512503836436,0.1945378125959109
intent,2,8,6,2,0.47712125471966244,0.11928031367991561
adapt,2,8,6,1,0.7781512503836436,0.1945378125959109
base,1,8,6,3,0.3010299956639812,0.03762874945799765
multipl,1,8,6,3,0.3010299956639812,0.03762874945799765
