Token,Fréquence du terme,Fréquence max,Nombre de documents dans la collection,Nombre de documents contenant le terme,log10,Poids du terme (TF-IDF)
(estimated),1,6,6,1,0.8450980400142568,0.14084967333570947
(llms),1,6,6,2,0.6020599913279624,0.10034333188799373
(prp).,1,6,6,1,0.8450980400142568,0.14084967333570947
10%,2,6,6,1,0.8450980400142568,0.28169934667141894
175b,1,6,6,1,0.8450980400142568,0.14084967333570947
2019,1,6,6,1,0.8450980400142568,0.14084967333570947
"2020,",1,6,6,1,0.8450980400142568,0.14084967333570947
20b,1,6,6,1,0.8450980400142568,0.14084967333570947
4.2%,1,6,6,1,0.8450980400142568,0.14084967333570947
50x,1,6,6,1,0.8450980400142568,0.14084967333570947
achiev,2,6,6,3,0.47712125471966244,0.15904041823988746
analyz,1,6,6,1,0.8450980400142568,0.14084967333570947
approach,1,6,6,4,0.3979400086720376,0.06632333477867293
argu,1,6,6,1,0.8450980400142568,0.14084967333570947
averag,1,6,6,1,0.8450980400142568,0.14084967333570947
base,2,6,6,3,0.47712125471966244,0.15904041823988746
baselin,2,6,6,1,0.8450980400142568,0.28169934667141894
beir,1,6,6,2,0.6020599913279624,0.10034333188799373
benchmark,2,6,6,3,0.47712125471966244,0.15904041823988746
best,1,6,6,1,0.8450980400142568,0.14084967333570947
blackbox,2,6,6,1,0.8450980400142568,0.28169934667141894
burden,1,6,6,1,0.8450980400142568,0.14084967333570947
call,1,6,6,1,0.8450980400142568,0.14084967333570947
candid,1,6,6,1,0.8450980400142568,0.14084967333570947
challeng,1,6,6,1,0.8450980400142568,0.14084967333570947
chatgpt,1,6,6,1,0.8450980400142568,0.14084967333570947
commerci,2,6,6,1,0.8450980400142568,0.28169934667141894
competit,1,6,6,1,0.8450980400142568,0.14084967333570947
complex,1,6,6,2,0.6020599913279624,0.10034333188799373
datasets.,1,6,6,1,0.8450980400142568,0.14084967333570947
difficult,1,6,6,1,0.8450980400142568,0.14084967333570947
directli,1,6,6,1,0.8450980400142568,0.14084967333570947
document,2,6,6,1,0.8450980400142568,0.28169934667141894
effici,1,6,6,2,0.6020599913279624,0.10034333188799373
even,1,6,6,1,0.8450980400142568,0.14084967333570947
exist,1,6,6,1,0.8450980400142568,0.14084967333570947
favor,1,6,6,1,0.8450980400142568,0.14084967333570947
feed,1,6,6,1,0.8450980400142568,0.14084967333570947
fine-tun,1,6,6,2,0.6020599913279624,0.10034333188799373
first,1,6,6,3,0.47712125471966244,0.07952020911994373
flan-ul2,1,6,6,1,0.8450980400142568,0.14084967333570947
formulations.,1,6,6,1,0.8450980400142568,0.14084967333570947
found,1,6,6,1,0.8450980400142568,0.14084967333570947
fulli,1,6,6,1,0.8450980400142568,0.14084967333570947
"furthermore,",1,6,6,2,0.6020599913279624,0.10034333188799373
gpt-4,1,6,6,1,0.8450980400142568,0.14084967333570947
"however,",1,6,6,1,0.8450980400142568,0.14084967333570947
improv,1,6,6,4,0.3979400086720376,0.06632333477867293
instructgpt,1,6,6,1,0.8450980400142568,0.14084967333570947
interest,1,6,6,1,0.8450980400142568,0.14084967333570947
languag,1,6,6,6,0.3010299956639812,0.050171665943996864
larg,1,6,6,6,0.3010299956639812,0.050171665943996864
linear,1,6,6,1,0.8450980400142568,0.14084967333570947
listwis,1,6,6,1,0.8450980400142568,0.14084967333570947
literatur,1,6,6,1,0.8450980400142568,0.14084967333570947
"literature,",1,6,6,1,0.8450980400142568,0.14084967333570947
llm,2,6,6,5,0.3424226808222063,0.1141408936074021
llm-base,2,6,6,3,0.47712125471966244,0.15904041823988746
llms.,1,6,6,2,0.6020599913279624,0.10034333188799373
method,1,6,6,2,0.6020599913279624,0.10034333188799373
metrics.,1,6,6,2,0.6020599913279624,0.10034333188799373
model,3,6,6,5,0.3424226808222063,0.17121134041110314
moderate-s,1,6,6,1,0.8450980400142568,0.14084967333570947
ndcg@10.,1,6,6,2,0.6020599913279624,0.10034333188799373
new,1,6,6,1,0.8450980400142568,0.14084967333570947
off-the-shelf,1,6,6,1,0.8450980400142568,0.14084967333570947
open-sourc,1,6,6,2,0.6020599913279624,0.10034333188799373
outperform,4,6,6,1,0.8450980400142568,0.5633986933428379
pairwis,1,6,6,1,0.8450980400142568,0.14084967333570947
"paper,",1,6,6,4,0.3979400086720376,0.06632333477867293
paramet,1,6,6,1,0.8450980400142568,0.14084967333570947
"parameters,",1,6,6,1,0.8450980400142568,0.14084967333570947
perform,2,6,6,2,0.6020599913279624,0.20068666377598746
pointwis,2,6,6,1,0.8450980400142568,0.28169934667141894
possibl,1,6,6,1,0.8450980400142568,0.14084967333570947
practic,1,6,6,1,0.8450980400142568,0.14084967333570947
previou,1,6,6,3,0.47712125471966244,0.07952020911994373
problem.,1,6,6,1,0.8450980400142568,0.14084967333570947
prompt,4,6,6,4,0.3979400086720376,0.2652933391146917
propos,2,6,6,5,0.3424226808222063,0.1141408936074021
prp,3,6,6,1,0.8450980400142568,0.4225490200071284
queri,1,6,6,4,0.3979400086720376,0.06632333477867293
rank,6,6,6,2,0.6020599913279624,0.6020599913279624
ranker,1,6,6,2,0.6020599913279624,0.10034333188799373
reduc,1,6,6,2,0.6020599913279624,0.10034333188799373
research,1,6,6,2,0.6020599913279624,0.10034333188799373
result,2,6,6,4,0.3979400086720376,0.13264666955734586
seven,1,6,6,1,0.8450980400142568,0.14084967333570947
sever,1,6,6,1,0.8450980400142568,0.14084967333570947
show,1,6,6,2,0.6020599913279624,0.10034333188799373
significantli,1,6,6,3,0.47712125471966244,0.07952020911994373
"size,",1,6,6,1,0.8450980400142568,0.14084967333570947
solut,2,6,6,1,0.8450980400142568,0.28169934667141894
"solutions,",1,6,6,1,0.8450980400142568,0.14084967333570947
standard,1,6,6,1,0.8450980400142568,0.14084967333570947
state-of-the-art,1,6,6,2,0.6020599913279624,0.10034333188799373
supervis,1,6,6,1,0.8450980400142568,0.14084967333570947
"tasks,",1,6,6,3,0.47712125471966244,0.07952020911994373
techniqu,1,6,6,3,0.47712125471966244,0.07952020911994373
templat,1,6,6,2,0.6020599913279624,0.10034333188799373
trec-dl,1,6,6,1,0.8450980400142568,0.14084967333570947
understand,1,6,6,2,0.6020599913279624,0.10034333188799373
use,5,6,6,5,0.3424226808222063,0.28535223401850524
variant,1,6,6,1,0.8450980400142568,0.14084967333570947
