Token,Fréquence du terme,Fréquence max,Nombre de documents dans la collection,Nombre de documents contenant le terme,log10,Poids du terme (TF-IDF)
address,1,7,6,1,0.8450980400142568,0.1207282914306081
allow,1,7,6,1,0.8450980400142568,0.1207282914306081
also,1,7,6,2,0.6020599913279624,0.08600857018970891
although,1,7,6,1,0.8450980400142568,0.1207282914306081
approach,1,7,6,4,0.3979400086720376,0.05684857266743394
attempt,1,7,6,1,0.8450980400142568,0.1207282914306081
based,2,7,6,6,0.3010299956639812,0.08600857018970891
bridge,2,7,6,1,0.8450980400142568,0.2414565828612162
capability,1,7,6,1,0.8450980400142568,0.1207282914306081
community,1,7,6,1,0.8450980400142568,0.1207282914306081
contain,1,7,6,1,0.8450980400142568,0.1207282914306081
continuous,1,7,6,1,0.8450980400142568,0.1207282914306081
could,2,7,6,1,0.8450980400142568,0.2414565828612162
datasets,1,7,6,3,0.47712125471966244,0.06816017924566606
demonstrate,1,7,6,2,0.6020599913279624,0.08600857018970891
design,1,7,6,1,0.8450980400142568,0.1207282914306081
discrete,2,7,6,1,0.8450980400142568,0.2414565828612162
distill,1,7,6,1,0.8450980400142568,0.1207282914306081
distillation,1,7,6,1,0.8450980400142568,0.1207282914306081
e,2,7,6,1,0.8450980400142568,0.2414565828612162
effectiveness,1,7,6,2,0.6020599913279624,0.08600857018970891
efficiency,4,7,6,2,0.6020599913279624,0.34403428075883563
efficient,1,7,6,1,0.8450980400142568,0.1207282914306081
enough,1,7,6,1,0.8450980400142568,0.1207282914306081
experimental,1,7,6,1,0.8450980400142568,0.1207282914306081
extensive,1,7,6,1,0.8450980400142568,0.1207282914306081
filled,1,7,6,1,0.8450980400142568,0.1207282914306081
finding,1,7,6,1,0.8450980400142568,0.1207282914306081
fine,1,7,6,3,0.47712125471966244,0.06816017924566606
g,1,7,6,1,0.8450980400142568,0.1207282914306081
given,1,7,6,2,0.6020599913279624,0.08600857018970891
ids,3,7,6,1,0.8450980400142568,0.36218487429182433
immediate,1,7,6,1,0.8450980400142568,0.1207282914306081
improve,2,7,6,4,0.3979400086720376,0.11369714533486788
improved,1,7,6,1,0.8450980400142568,0.1207282914306081
