Token,Fréquence du terme,Fréquence max,Nombre de documents dans la collection,Nombre de documents contenant le terme,log10,Poids du terme (TF-IDF)
(llms).,1,4,6,1,0.8450980400142568,0.2112745100035642
"(sgr),",1,4,6,1,0.8450980400142568,0.2112745100035642
abl,1,4,6,2,0.6020599913279624,0.1505149978319906
achiev,1,4,6,3,0.47712125471966244,0.11928031367991561
act,1,4,6,1,0.8450980400142568,0.2112745100035642
adv,1,4,6,2,0.6020599913279624,0.1505149978319906
aim,1,4,6,2,0.6020599913279624,0.1505149978319906
allow,1,4,6,2,0.6020599913279624,0.1505149978319906
also,1,4,6,2,0.6020599913279624,0.1505149978319906
analys,1,4,6,2,0.6020599913279624,0.1505149978319906
aol,1,4,6,1,0.8450980400142568,0.2112745100035642
approach,2,4,6,4,0.3979400086720376,0.1989700043360188
approach.,1,4,6,1,0.8450980400142568,0.2112745100035642
benchmark,1,4,6,3,0.47712125471966244,0.11928031367991561
bridg,1,4,6,2,0.6020599913279624,0.1505149978319906
capt,3,4,6,3,0.47712125471966244,0.35784094103974684
coarse-grained,1,4,6,1,0.8450980400142568,0.2112745100035642
complex,1,4,6,2,0.6020599913279624,0.1505149978319906
comprehend,1,4,6,1,0.8450980400142568,0.2112745100035642
"concretely,",1,4,6,1,0.8450980400142568,0.2112745100035642
confirm,1,4,6,1,0.8450980400142568,0.2112745100035642
cont,1,4,6,2,0.6020599913279624,0.1505149978319906
contrast,1,4,6,1,0.8450980400142568,0.2112745100035642
convert,1,4,6,1,0.8450980400142568,0.2112745100035642
"corpora,",1,4,6,1,0.8450980400142568,0.2112745100035642
cur,1,4,6,1,0.8450980400142568,0.2112745100035642
"datasets,",1,4,6,1,0.8450980400142568,0.2112745100035642
deep,1,4,6,1,0.8450980400142568,0.2112745100035642
discrep,1,4,6,1,0.8450980400142568,0.2112745100035642
"documents,",1,4,6,1,0.8450980400142568,0.2112745100035642
effect,1,4,6,3,0.47712125471966244,0.11928031367991561
en,1,4,6,1,0.8450980400142568,0.2112745100035642
enh,1,4,6,2,0.6020599913279624,0.1505149978319906
expery,1,4,6,3,0.47712125471966244,0.11928031367991561
fine-grained.,1,4,6,1,0.8450980400142568,0.2112745100035642
first,1,4,6,3,0.47712125471966244,0.11928031367991561
foc,1,4,6,1,0.8450980400142568,0.2112745100035642
format.,1,4,6,1,0.8450980400142568,0.2112745100035642
fulfil,1,4,6,1,0.8450980400142568,0.2112745100035642
gap,1,4,6,1,0.8450980400142568,0.2112745100035642
gen,2,4,6,4,0.3979400086720376,0.1989700043360188
"generation,",1,4,6,1,0.8450980400142568,0.2112745100035642
giv,1,4,6,2,0.6020599913279624,0.1505149978319906
gramm,1,4,6,1,0.8450980400142568,0.2112745100035642
"grammar,",1,4,6,1,0.8450980400142568,0.2112745100035642
graph,4,4,6,1,0.8450980400142568,0.8450980400142568
graph-based,1,4,6,1,0.8450980400142568,0.2112745100035642
graph-to-text,1,4,6,1,0.8450980400142568,0.2112745100035642
"history,",1,4,6,1,0.8450980400142568,0.2112745100035642
includ,1,4,6,1,0.8450980400142568,0.2112745100035642
inform,2,4,6,3,0.47712125471966244,0.23856062735983122
"information,",1,4,6,1,0.8450980400142568,0.2112745100035642
input,1,4,6,3,0.47712125471966244,0.11928031367991561
instruct,1,4,6,2,0.6020599913279624,0.1505149978319906
integr,1,4,6,2,0.6020599913279624,0.1505149978319906
interact,2,4,6,1,0.8450980400142568,0.4225490200071284
interactions.,1,4,6,1,0.8450980400142568,0.2112745100035642
introduc,2,4,6,2,0.6020599913279624,0.3010299956639812
involv,1,4,6,1,0.8450980400142568,0.2112745100035642
langu,2,4,6,6,0.3010299956639812,0.1505149978319906
larg,1,4,6,6,0.3010299956639812,0.0752574989159953
learn,1,4,6,1,0.8450980400142568,0.2112745100035642
"learning,",1,4,6,1,0.8450980400142568,0.2112745100035642
lev,1,4,6,3,0.47712125471966244,0.11928031367991561
link,1,4,6,1,0.8450980400142568,0.2112745100035642
llm.,1,4,6,1,0.8450980400142568,0.2112745100035642
llms,2,4,6,4,0.3979400086720376,0.1989700043360188
llms',1,4,6,1,0.8450980400142568,0.2112745100035642
llms.,1,4,6,2,0.6020599913279624,0.1505149978319906
methodolog,1,4,6,1,0.8450980400142568,0.2112745100035642
model,2,4,6,5,0.3424226808222063,0.17121134041110314
modeling.,1,4,6,1,0.8450980400142568,0.2112745100035642
modern,1,4,6,1,0.8450980400142568,0.2112745100035642
"moreover,",1,4,6,1,0.8450980400142568,0.2112745100035642
nat,1,4,6,2,0.6020599913279624,0.1505149978319906
need.,1,4,6,1,0.8450980400142568,0.2112745100035642
neglect,1,4,6,1,0.8450980400142568,0.2112745100035642
nod,1,4,6,1,0.8450980400142568,0.2112745100035642
novel,1,4,6,2,0.6020599913279624,0.1505149978319906
object,1,4,6,1,0.8450980400142568,0.2112745100035642
off,1,4,6,1,0.8450980400142568,0.2112745100035642
overlook,1,4,6,1,0.8450980400142568,0.2112745100035642
"paper,",1,4,6,4,0.3979400086720376,0.0994850021680094
paradigm,1,4,6,1,0.8450980400142568,0.2112745100035642
pow,1,4,6,3,0.47712125471966244,0.11928031367991561
pre-trained,1,4,6,1,0.8450980400142568,0.2112745100035642
"prediction,",1,4,6,1,0.8450980400142568,0.2112745100035642
priorit,1,4,6,1,0.8450980400142568,0.2112745100035642
"process,",1,4,6,2,0.6020599913279624,0.1505149978319906
produc,1,4,6,1,0.8450980400142568,0.2112745100035642
propos,1,4,6,5,0.3424226808222063,0.08560567020555157
query,1,4,6,4,0.3979400086720376,0.0994850021680094
rank,1,4,6,3,0.47712125471966244,0.11928031367991561
rec,1,4,6,3,0.47712125471966244,0.11928031367991561
repres,1,4,6,2,0.6020599913279624,0.1505149978319906
result,1,4,6,4,0.3979400086720376,0.0994850021680094
rul,1,4,6,1,0.8450980400142568,0.2112745100035642
seamless,1,4,6,1,0.8450980400142568,0.2112745100035642
search,2,4,6,3,0.47712125471966244,0.23856062735983122
self-supervised,1,4,6,1,0.8450980400142568,0.2112745100035642
sem,2,4,6,1,0.8450980400142568,0.4225490200071284
sequ,1,4,6,2,0.6020599913279624,0.1505149978319906
sery,1,4,6,1,0.8450980400142568,0.2112745100035642
sess,3,4,6,1,0.8450980400142568,0.6338235300106926
set,2,4,6,3,0.47712125471966244,0.23856062735983122
strategies,2,4,6,3,0.47712125471966244,0.23856062735983122
structural,1,4,6,1,0.8450980400142568,0.2112745100035642
structure,1,4,6,1,0.8450980400142568,0.2112745100035642
structures,1,4,6,1,0.8450980400142568,0.2112745100035642
supery,1,4,6,1,0.8450980400142568,0.2112745100035642
symbol,4,4,6,1,0.8450980400142568,0.8450980400142568
tak,1,4,6,3,0.47712125471966244,0.11928031367991561
task,2,4,6,2,0.6020599913279624,0.3010299956639812
text,2,4,6,3,0.47712125471966244,0.23856062735983122
text-based,1,4,6,1,0.8450980400142568,0.2112745100035642
text.,1,4,6,1,0.8450980400142568,0.2112745100035642
"this,",1,4,6,1,0.8450980400142568,0.2112745100035642
"tiangong-st,",1,4,6,1,0.8450980400142568,0.2112745100035642
topolog,1,4,6,1,0.8450980400142568,0.2112745100035642
tradit,1,4,6,1,0.8450980400142568,0.2112745100035642
