Token,Fréquence du terme,Fréquence max,Nombre de documents dans la collection,Nombre de documents contenant le terme,log10,Poids du terme (TF-IDF)
(llms).,1,4,6,1,0.8450980400142568,0.2112745100035642
"(sgr),",1,4,6,1,0.8450980400142568,0.2112745100035642
ability,1,4,6,2,0.6020599913279624,0.1505149978319906
achieve,1,4,6,2,0.6020599913279624,0.1505149978319906
actions,1,4,6,1,0.8450980400142568,0.2112745100035642
advantage,1,4,6,1,0.8450980400142568,0.2112745100035642
aims,1,4,6,1,0.8450980400142568,0.2112745100035642
allows,1,4,6,1,0.8450980400142568,0.2112745100035642
also,1,4,6,2,0.6020599913279624,0.1505149978319906
analysis,1,4,6,1,0.8450980400142568,0.2112745100035642
aol,1,4,6,1,0.8450980400142568,0.2112745100035642
approach.,1,4,6,1,0.8450980400142568,0.2112745100035642
approaches,2,4,6,1,0.8450980400142568,0.4225490200071284
benchmark,1,4,6,3,0.47712125471966244,0.11928031367991561
bridges,1,4,6,1,0.8450980400142568,0.2112745100035642
capture,2,4,6,2,0.6020599913279624,0.3010299956639812
capturing,1,4,6,2,0.6020599913279624,0.1505149978319906
coarse-grained,1,4,6,1,0.8450980400142568,0.2112745100035642
complex,1,4,6,1,0.8450980400142568,0.2112745100035642
comprehensive,1,4,6,1,0.8450980400142568,0.2112745100035642
"concretely,",1,4,6,1,0.8450980400142568,0.2112745100035642
confirm,1,4,6,1,0.8450980400142568,0.2112745100035642
content,1,4,6,1,0.8450980400142568,0.2112745100035642
contrastive,1,4,6,1,0.8450980400142568,0.2112745100035642
convert,1,4,6,1,0.8450980400142568,0.2112745100035642
"corpora,",1,4,6,1,0.8450980400142568,0.2112745100035642
current,1,4,6,1,0.8450980400142568,0.2112745100035642
"datasets,",1,4,6,1,0.8450980400142568,0.2112745100035642
deep,1,4,6,1,0.8450980400142568,0.2112745100035642
discrepancy,1,4,6,1,0.8450980400142568,0.2112745100035642
"documents,",1,4,6,1,0.8450980400142568,0.2112745100035642
effective,1,4,6,1,0.8450980400142568,0.2112745100035642
enable,1,4,6,1,0.8450980400142568,0.2112745100035642
enhance,1,4,6,1,0.8450980400142568,0.2112745100035642
experiment,1,4,6,1,0.8450980400142568,0.2112745100035642
fine-grained.,1,4,6,1,0.8450980400142568,0.2112745100035642
first,1,4,6,3,0.47712125471966244,0.11928031367991561
focus,1,4,6,1,0.8450980400142568,0.2112745100035642
format.,1,4,6,1,0.8450980400142568,0.2112745100035642
fulfill,1,4,6,1,0.8450980400142568,0.2112745100035642
gap,1,4,6,1,0.8450980400142568,0.2112745100035642
generalized,1,4,6,1,0.8450980400142568,0.2112745100035642
"generation,",1,4,6,1,0.8450980400142568,0.2112745100035642
generative,1,4,6,2,0.6020599913279624,0.1505149978319906
given,1,4,6,2,0.6020599913279624,0.1505149978319906
grammar,1,4,6,1,0.8450980400142568,0.2112745100035642
"grammar,",1,4,6,1,0.8450980400142568,0.2112745100035642
graph,4,4,6,1,0.8450980400142568,0.8450980400142568
graph-based,1,4,6,1,0.8450980400142568,0.2112745100035642
graph-to-text,1,4,6,1,0.8450980400142568,0.2112745100035642
"history,",1,4,6,1,0.8450980400142568,0.2112745100035642
including,1,4,6,1,0.8450980400142568,0.2112745100035642
information,2,4,6,2,0.6020599913279624,0.3010299956639812
"information,",1,4,6,1,0.8450980400142568,0.2112745100035642
inputs,1,4,6,1,0.8450980400142568,0.2112745100035642
instruction,1,4,6,2,0.6020599913279624,0.1505149978319906
integrating,1,4,6,1,0.8450980400142568,0.2112745100035642
interaction,1,4,6,1,0.8450980400142568,0.2112745100035642
interactions.,1,4,6,1,0.8450980400142568,0.2112745100035642
interactive,1,4,6,1,0.8450980400142568,0.2112745100035642
introduce,2,4,6,2,0.6020599913279624,0.3010299956639812
involves,1,4,6,1,0.8450980400142568,0.2112745100035642
language,2,4,6,6,0.3010299956639812,0.1505149978319906
large,1,4,6,6,0.3010299956639812,0.0752574989159953
learning,1,4,6,1,0.8450980400142568,0.2112745100035642
"learning,",1,4,6,1,0.8450980400142568,0.2112745100035642
leveraging,1,4,6,1,0.8450980400142568,0.2112745100035642
link,1,4,6,1,0.8450980400142568,0.2112745100035642
llm.,1,4,6,1,0.8450980400142568,0.2112745100035642
llms,2,4,6,4,0.3979400086720376,0.1989700043360188
llms',1,4,6,1,0.8450980400142568,0.2112745100035642
llms.,1,4,6,2,0.6020599913279624,0.1505149978319906
methodology,1,4,6,1,0.8450980400142568,0.2112745100035642
modeling,1,4,6,2,0.6020599913279624,0.1505149978319906
modeling.,1,4,6,1,0.8450980400142568,0.2112745100035642
models,1,4,6,5,0.3424226808222063,0.08560567020555157
modern,1,4,6,1,0.8450980400142568,0.2112745100035642
"moreover,",1,4,6,1,0.8450980400142568,0.2112745100035642
natural,1,4,6,2,0.6020599913279624,0.1505149978319906
need.,1,4,6,1,0.8450980400142568,0.2112745100035642
neglecting,1,4,6,1,0.8450980400142568,0.2112745100035642
node,1,4,6,1,0.8450980400142568,0.2112745100035642
novel,1,4,6,2,0.6020599913279624,0.1505149978319906
objective,1,4,6,1,0.8450980400142568,0.2112745100035642
offers,1,4,6,1,0.8450980400142568,0.2112745100035642
overlooking,1,4,6,1,0.8450980400142568,0.2112745100035642
"paper,",1,4,6,4,0.3979400086720376,0.0994850021680094
paradigm,1,4,6,1,0.8450980400142568,0.2112745100035642
power,1,4,6,2,0.6020599913279624,0.1505149978319906
pre-trained,1,4,6,1,0.8450980400142568,0.2112745100035642
"prediction,",1,4,6,1,0.8450980400142568,0.2112745100035642
prioritize,1,4,6,1,0.8450980400142568,0.2112745100035642
"process,",1,4,6,2,0.6020599913279624,0.1505149978319906
produce,1,4,6,1,0.8450980400142568,0.2112745100035642
propose,1,4,6,5,0.3424226808222063,0.08560567020555157
queries,1,4,6,2,0.6020599913279624,0.1505149978319906
ranker,1,4,6,1,0.8450980400142568,0.2112745100035642
recent,1,4,6,3,0.47712125471966244,0.11928031367991561
representation,1,4,6,1,0.8450980400142568,0.2112745100035642
results,1,4,6,4,0.3979400086720376,0.0994850021680094
rules,1,4,6,1,0.8450980400142568,0.2112745100035642
seamlessly,1,4,6,1,0.8450980400142568,0.2112745100035642
search,2,4,6,3,0.47712125471966244,0.23856062735983122
self-supervised,1,4,6,1,0.8450980400142568,0.2112745100035642
semantic,2,4,6,1,0.8450980400142568,0.4225490200071284
sequential,1,4,6,2,0.6020599913279624,0.1505149978319906
series,1,4,6,1,0.8450980400142568,0.2112745100035642
session,3,4,6,1,0.8450980400142568,0.6338235300106926
set,2,4,6,3,0.47712125471966244,0.23856062735983122
strategies,2,4,6,3,0.47712125471966244,0.23856062735983122
structural,1,4,6,1,0.8450980400142568,0.2112745100035642
structure,1,4,6,1,0.8450980400142568,0.2112745100035642
structures,1,4,6,1,0.8450980400142568,0.2112745100035642
superiority,1,4,6,1,0.8450980400142568,0.2112745100035642
symbolic,4,4,6,1,0.8450980400142568,0.8450980400142568
take,1,4,6,2,0.6020599913279624,0.1505149978319906
task,1,4,6,2,0.6020599913279624,0.1505149978319906
tasks,1,4,6,1,0.8450980400142568,0.2112745100035642
text-based,1,4,6,1,0.8450980400142568,0.2112745100035642
