Token,Fréquence du terme,Fréquence max,Nombre de documents dans la collection,Nombre de documents contenant le terme,log10,Poids du terme (TF-IDF)
abil,1,6,6,2,0.6020599913279624,0.10034333188799373
achiev,1,6,6,3,0.47712125471966244,0.07952020911994373
action,1,6,6,1,0.8450980400142568,0.14084967333570947
advantag,1,6,6,1,0.8450980400142568,0.14084967333570947
aim,1,6,6,2,0.6020599913279624,0.10034333188799373
allow,1,6,6,2,0.6020599913279624,0.10034333188799373
also,1,6,6,2,0.6020599913279624,0.10034333188799373
analysi,1,6,6,1,0.8450980400142568,0.14084967333570947
aol,1,6,6,1,0.8450980400142568,0.14084967333570947
approach,3,6,6,4,0.3979400086720376,0.1989700043360188
base,2,6,6,6,0.3010299956639812,0.10034333188799373
benchmark,1,6,6,4,0.3979400086720376,0.06632333477867293
bridg,1,6,6,2,0.6020599913279624,0.10034333188799373
captur,3,6,6,2,0.6020599913279624,0.3010299956639812
coars,1,6,6,1,0.8450980400142568,0.14084967333570947
complex,1,6,6,2,0.6020599913279624,0.10034333188799373
comprehens,1,6,6,1,0.8450980400142568,0.14084967333570947
concret,1,6,6,1,0.8450980400142568,0.14084967333570947
confirm,1,6,6,1,0.8450980400142568,0.14084967333570947
content,1,6,6,1,0.8450980400142568,0.14084967333570947
contrast,1,6,6,1,0.8450980400142568,0.14084967333570947
convert,1,6,6,1,0.8450980400142568,0.14084967333570947
corpora,1,6,6,1,0.8450980400142568,0.14084967333570947
current,1,6,6,1,0.8450980400142568,0.14084967333570947
dataset,1,6,6,4,0.3979400086720376,0.06632333477867293
deep,1,6,6,1,0.8450980400142568,0.14084967333570947
discrep,1,6,6,1,0.8450980400142568,0.14084967333570947
document,1,6,6,3,0.47712125471966244,0.07952020911994373
effect,1,6,6,3,0.47712125471966244,0.07952020911994373
enabl,1,6,6,1,0.8450980400142568,0.14084967333570947
enhanc,1,6,6,2,0.6020599913279624,0.10034333188799373
experi,1,6,6,3,0.47712125471966244,0.07952020911994373
fine,1,6,6,3,0.47712125471966244,0.07952020911994373
first,1,6,6,3,0.47712125471966244,0.07952020911994373
focu,1,6,6,1,0.8450980400142568,0.14084967333570947
format,1,6,6,1,0.8450980400142568,0.14084967333570947
fulfil,1,6,6,1,0.8450980400142568,0.14084967333570947
gap,1,6,6,1,0.8450980400142568,0.14084967333570947
gener,3,6,6,4,0.3979400086720376,0.1989700043360188
given,1,6,6,2,0.6020599913279624,0.10034333188799373
grain,2,6,6,1,0.8450980400142568,0.28169934667141894
grammar,2,6,6,1,0.8450980400142568,0.28169934667141894
graph,6,6,6,1,0.8450980400142568,0.8450980400142568
histori,1,6,6,1,0.8450980400142568,0.14084967333570947
includ,1,6,6,1,0.8450980400142568,0.14084967333570947
inform,3,6,6,4,0.3979400086720376,0.1989700043360188
input,1,6,6,3,0.47712125471966244,0.07952020911994373
instruct,1,6,6,2,0.6020599913279624,0.10034333188799373
integr,1,6,6,2,0.6020599913279624,0.10034333188799373
interact,3,6,6,1,0.8450980400142568,0.4225490200071284
introduc,2,6,6,2,0.6020599913279624,0.20068666377598746
involv,1,6,6,1,0.8450980400142568,0.14084967333570947
languag,2,6,6,6,0.3010299956639812,0.10034333188799373
larg,1,6,6,6,0.3010299956639812,0.050171665943996864
learn,2,6,6,1,0.8450980400142568,0.28169934667141894
level,1,6,6,1,0.8450980400142568,0.14084967333570947
leverag,1,6,6,3,0.47712125471966244,0.07952020911994373
link,1,6,6,1,0.8450980400142568,0.14084967333570947
llm,6,6,6,5,0.3424226808222063,0.3424226808222063
methodolog,1,6,6,1,0.8450980400142568,0.14084967333570947
