doc_number,token,freq,max_freq,n,N,log_factor,poids
1,10,1,1,3,6,0.47712125471966244,0.47712125471966244
1,18,1,1,1,6,0.8450980400142568,0.8450980400142568
1,24,1,1,1,6,0.8450980400142568,0.8450980400142568
1,5,1,1,1,6,0.8450980400142568,0.8450980400142568
1,9,1,1,1,6,0.8450980400142568,0.8450980400142568
1,ability,1,1,2,6,0.6020599913279624,0.6020599913279624
1,aligns,1,1,1,6,0.8450980400142568,0.8450980400142568
1,approach,1,1,4,6,0.3979400086720376,0.3979400086720376
1,art,1,1,3,6,0.47712125471966244,0.47712125471966244
1,based,1,1,6,6,0.3010299956639812,0.3010299956639812
1,benchmarks,1,1,2,6,0.6020599913279624,0.6020599913279624
1,benefited,1,1,1,6,0.8450980400142568,0.8450980400142568
1,better,1,1,1,6,0.8450980400142568,0.8450980400142568
1,context,1,1,1,6,0.8450980400142568,0.8450980400142568
1,documents,1,1,3,6,0.47712125471966244,0.47712125471966244
1,due,1,1,1,6,0.8450980400142568,0.8450980400142568
1,ensemble,1,1,1,6,0.8450980400142568,0.8450980400142568
1,evaluations,1,1,1,6,0.8450980400142568,0.8450980400142568
1,experience,1,1,1,6,0.8450980400142568,0.8450980400142568
1,exploit,1,1,1,6,0.8450980400142568,0.8450980400142568
1,feedback,1,1,2,6,0.6020599913279624,0.6020599913279624
1,find,1,1,2,6,0.6020599913279624,0.6020599913279624
1,four,1,1,1,6,0.8450980400142568,0.8450980400142568
1,gains,1,1,1,6,0.8450980400142568,0.8450980400142568
1,generate,1,1,3,6,0.47712125471966244,0.47712125471966244
1,generates,1,1,1,6,0.8450980400142568,0.8450980400142568
1,genqrensemble,1,1,1,6,0.8450980400142568,0.8450980400142568
1,genqrensemblerf,1,1,1,6,0.8450980400142568,0.8450980400142568
1,help,1,1,1,6,0.8450980400142568,0.8450980400142568
1,improve,1,1,4,6,0.3979400086720376,0.3979400086720376
1,improvements,1,1,1,6,0.8450980400142568,0.8450980400142568
1,improves,1,1,1,6,0.8450980400142568,0.8450980400142568
1,improving,1,1,1,6,0.8450980400142568,0.8450980400142568
1,incorporate,1,1,1,6,0.8450980400142568,0.8450980400142568
1,inherent,1,1,1,6,0.8450980400142568,0.8450980400142568
1,inspiration,1,1,1,6,0.8450980400142568,0.8450980400142568
1,instruction,1,1,2,6,0.6020599913279624,0.6020599913279624
1,intent,1,1,2,6,0.6020599913279624,0.6020599913279624
1,introduce,1,1,2,6,0.6020599913279624,0.6020599913279624
1,investigate,1,1,1,6,0.8450980400142568,0.8450980400142568
1,ir,1,1,2,6,0.6020599913279624,0.6020599913279624
1,keywords,1,1,1,6,0.8450980400142568,0.8450980400142568
1,knowledge,1,1,1,6,0.8450980400142568,0.8450980400142568
1,language,1,1,6,6,0.3010299956639812,0.3010299956639812
1,large,1,1,6,6,0.3010299956639812,0.3010299956639812
1,leverages,1,1,2,6,0.6020599913279624,0.6020599913279624
1,many,1,1,1,6,0.8450980400142568,0.8450980400142568
1,map,1,1,1,6,0.8450980400142568,0.8450980400142568
1,models,1,1,6,6,0.3010299956639812,0.3010299956639812
1,mrr,1,1,2,6,0.6020599913279624,0.6020599913279624
1,msmarco,1,1,1,6,0.8450980400142568,0.8450980400142568
1,multiple,1,1,3,6,0.47712125471966244,0.47712125471966244
1,ndcg,1,1,4,6,0.3979400086720376,0.3979400086720376
1,original,1,1,1,6,0.8450980400142568,0.8450980400142568
1,paraphrases,1,1,1,6,0.8450980400142568,0.8450980400142568
1,passage,1,1,1,6,0.8450980400142568,0.8450980400142568
1,performance,1,1,3,6,0.47712125471966244,0.47712125471966244
1,post,1,1,1,6,0.8450980400142568,0.8450980400142568
1,previous,1,1,3,6,0.47712125471966244,0.47712125471966244
1,promising,1,1,1,6,0.8450980400142568,0.8450980400142568
1,prompting,1,1,3,6,0.47712125471966244,0.47712125471966244
1,propose,1,1,5,6,0.3424226808222063,0.3424226808222063
1,pseudo,1,1,1,6,0.8450980400142568,0.8450980400142568
1,qr,1,1,1,6,0.8450980400142568,0.8450980400142568
1,query,1,1,4,6,0.3979400086720376,0.3979400086720376
1,ranking,1,1,2,6,0.6020599913279624,0.6020599913279624
1,recently,1,1,1,6,0.8450980400142568,0.8450980400142568
1,reformulation,1,1,2,6,0.6020599913279624,0.6020599913279624
1,reformulations,1,1,1,6,0.8450980400142568,0.8450980400142568
1,relative,1,1,1,6,0.8450980400142568,0.8450980400142568
1,relevance,1,1,1,6,0.8450980400142568,0.8450980400142568
1,relevant,1,1,1,6,0.8450980400142568,0.8450980400142568
1,retrieval,1,1,2,6,0.6020599913279624,0.6020599913279624
1,search,1,1,3,6,0.47712125471966244,0.47712125471966244
1,set,1,1,3,6,0.47712125471966244,0.47712125471966244
1,sets,1,1,1,6,0.8450980400142568,0.8450980400142568
1,shot,1,1,2,6,0.6020599913279624,0.6020599913279624
1,shown,1,1,1,6,0.8450980400142568,0.8450980400142568
1,shows,1,1,1,6,0.8450980400142568,0.8450980400142568
1,state,1,1,3,6,0.47712125471966244,0.47712125471966244
1,strategies,1,1,3,6,0.47712125471966244,0.47712125471966244
1,success,1,1,2,6,0.6020599913279624,0.6020599913279624
1,taking,1,1,1,6,0.8450980400142568,0.8450980400142568
1,task,1,1,5,6,0.3424226808222063,0.3424226808222063
1,tasks,1,1,5,6,0.3424226808222063,0.3424226808222063
1,technique,1,1,2,6,0.6020599913279624,0.6020599913279624
1,techniques,1,1,3,6,0.47712125471966244,0.47712125471966244
1,text,1,1,3,6,0.47712125471966244,0.47712125471966244
1,transform,1,1,1,6,0.8450980400142568,0.8450980400142568
1,ultimately,1,1,1,6,0.8450980400142568,0.8450980400142568
1,upto,1,1,1,6,0.8450980400142568,0.8450980400142568
1,used,1,1,3,6,0.47712125471966244,0.47712125471966244
1,user,1,1,4,6,0.3979400086720376,0.3979400086720376
1,using,1,1,5,6,0.3424226808222063,0.3424226808222063
1,variant,1,1,2,6,0.6020599913279624,0.6020599913279624
1,zero,1,1,1,6,0.8450980400142568,0.8450980400142568
2,10,1,1,3,6,0.47712125471966244,0.47712125471966244
2,175,1,1,1,6,0.8450980400142568,0.8450980400142568
2,20,1,1,1,6,0.8450980400142568,0.8450980400142568
2,2019,1,1,1,6,0.8450980400142568,0.8450980400142568
2,2020,1,1,1,6,0.8450980400142568,0.8450980400142568
2,4,1,1,1,6,0.8450980400142568,0.8450980400142568
2,4.2,1,1,1,6,0.8450980400142568,0.8450980400142568
2,50,1,1,1,6,0.8450980400142568,0.8450980400142568
2,achieve,1,1,2,6,0.6020599913279624,0.6020599913279624
2,analyze,1,1,1,6,0.8450980400142568,0.8450980400142568
2,approach,1,1,4,6,0.3979400086720376,0.3979400086720376
2,argue,1,1,1,6,0.8450980400142568,0.8450980400142568
2,art,1,1,3,6,0.47712125471966244,0.47712125471966244
2,average,1,1,1,6,0.8450980400142568,0.8450980400142568
2,b,1,1,1,6,0.8450980400142568,0.8450980400142568
2,based,1,1,6,6,0.3010299956639812,0.3010299956639812
2,baseline,1,1,1,6,0.8450980400142568,0.8450980400142568
2,baselines,1,1,1,6,0.8450980400142568,0.8450980400142568
2,beir,1,1,2,6,0.6020599913279624,0.6020599913279624
2,benchmark,1,1,4,6,0.3979400086720376,0.3979400086720376
2,benchmarks,1,1,2,6,0.6020599913279624,0.6020599913279624
2,best,1,1,1,6,0.8450980400142568,0.8450980400142568
2,blackbox,1,1,1,6,0.8450980400142568,0.8450980400142568
2,burden,1,1,1,6,0.8450980400142568,0.8450980400142568
2,called,1,1,1,6,0.8450980400142568,0.8450980400142568
2,candidate,1,1,1,6,0.8450980400142568,0.8450980400142568
2,challenging,1,1,1,6,0.8450980400142568,0.8450980400142568
2,chatgpt,1,1,1,6,0.8450980400142568,0.8450980400142568
2,commercial,1,1,1,6,0.8450980400142568,0.8450980400142568
2,competitive,1,1,1,6,0.8450980400142568,0.8450980400142568
2,complexity,1,1,1,6,0.8450980400142568,0.8450980400142568
2,datasets,1,1,3,6,0.47712125471966244,0.47712125471966244
2,difficult,1,1,1,6,0.8450980400142568,0.8450980400142568
2,directly,1,1,1,6,0.8450980400142568,0.8450980400142568
2,dl,1,1,1,6,0.8450980400142568,0.8450980400142568
2,documents,1,1,3,6,0.47712125471966244,0.47712125471966244
2,efficiency,1,1,2,6,0.6020599913279624,0.6020599913279624
2,estimated,1,1,1,6,0.8450980400142568,0.8450980400142568
2,even,1,1,1,6,0.8450980400142568,0.8450980400142568
2,existing,1,1,1,6,0.8450980400142568,0.8450980400142568
2,favorably,1,1,1,6,0.8450980400142568,0.8450980400142568
2,feeding,1,1,1,6,0.8450980400142568,0.8450980400142568
2,fine,1,1,3,6,0.47712125471966244,0.47712125471966244
2,first,1,1,3,6,0.47712125471966244,0.47712125471966244
2,flan,1,1,1,6,0.8450980400142568,0.8450980400142568
2,formulations,1,1,1,6,0.8450980400142568,0.8450980400142568
2,found,1,1,1,6,0.8450980400142568,0.8450980400142568
2,fully,1,1,1,6,0.8450980400142568,0.8450980400142568
2,furthermore,1,1,2,6,0.6020599913279624,0.6020599913279624
2,gpt,1,1,2,6,0.6020599913279624,0.6020599913279624
2,however,1,1,1,6,0.8450980400142568,0.8450980400142568
2,improve,1,1,4,6,0.3979400086720376,0.3979400086720376
2,instructgpt,1,1,1,6,0.8450980400142568,0.8450980400142568
2,interesting,1,1,1,6,0.8450980400142568,0.8450980400142568
2,language,1,1,6,6,0.3010299956639812,0.3010299956639812
2,large,1,1,6,6,0.3010299956639812,0.3010299956639812
2,linear,1,1,1,6,0.8450980400142568,0.8450980400142568
2,listwise,1,1,1,6,0.8450980400142568,0.8450980400142568
2,literature,1,1,1,6,0.8450980400142568,0.8450980400142568
2,llm,1,1,5,6,0.3424226808222063,0.3424226808222063
2,llms,1,1,4,6,0.3979400086720376,0.3979400086720376
2,methods,1,1,2,6,0.6020599913279624,0.6020599913279624
2,metrics,1,1,2,6,0.6020599913279624,0.6020599913279624
2,model,1,1,6,6,0.3010299956639812,0.3010299956639812
2,models,1,1,6,6,0.3010299956639812,0.3010299956639812
2,moderate,1,1,1,6,0.8450980400142568,0.8450980400142568
2,ndcg,1,1,4,6,0.3979400086720376,0.3979400086720376
2,new,1,1,1,6,0.8450980400142568,0.8450980400142568
2,open,1,1,2,6,0.6020599913279624,0.6020599913279624
2,outperform,1,1,1,6,0.8450980400142568,0.8450980400142568
2,outperforming,1,1,1,6,0.8450980400142568,0.8450980400142568
2,outperforms,1,1,1,6,0.8450980400142568,0.8450980400142568
2,pairwise,1,1,1,6,0.8450980400142568,0.8450980400142568
2,paper,1,1,4,6,0.3979400086720376,0.3979400086720376
2,parameters,1,1,1,6,0.8450980400142568,0.8450980400142568
2,performance,1,1,3,6,0.47712125471966244,0.47712125471966244
2,performs,1,1,1,6,0.8450980400142568,0.8450980400142568
2,pointwise,1,1,1,6,0.8450980400142568,0.8450980400142568
2,possible,1,1,1,6,0.8450980400142568,0.8450980400142568
2,practical,1,1,1,6,0.8450980400142568,0.8450980400142568
2,previous,1,1,3,6,0.47712125471966244,0.47712125471966244
2,problem,1,1,3,6,0.47712125471966244,0.47712125471966244
2,prompt,1,1,5,6,0.3424226808222063,0.3424226808222063
2,prompting,1,1,3,6,0.47712125471966244,0.47712125471966244
2,prompts,1,1,2,6,0.6020599913279624,0.6020599913279624
2,propose,1,1,5,6,0.3424226808222063,0.3424226808222063
2,prp,1,1,1,6,0.8450980400142568,0.8450980400142568
2,query,1,1,4,6,0.3979400086720376,0.3979400086720376
2,rankers,1,1,1,6,0.8450980400142568,0.8450980400142568
2,ranking,1,1,2,6,0.6020599913279624,0.6020599913279624
2,reduce,1,1,2,6,0.6020599913279624,0.6020599913279624
2,researchers,1,1,2,6,0.6020599913279624,0.6020599913279624
2,results,1,1,4,6,0.3979400086720376,0.3979400086720376
2,seven,1,1,1,6,0.8450980400142568,0.8450980400142568
2,several,1,1,1,6,0.8450980400142568,0.8450980400142568
2,shelf,1,1,1,6,0.8450980400142568,0.8450980400142568
2,show,1,1,2,6,0.6020599913279624,0.6020599913279624
2,significantly,1,1,3,6,0.47712125471966244,0.47712125471966244
2,size,1,1,1,6,0.8450980400142568,0.8450980400142568
2,sized,1,1,1,6,0.8450980400142568,0.8450980400142568
2,solution,1,1,1,6,0.8450980400142568,0.8450980400142568
2,solutions,1,1,1,6,0.8450980400142568,0.8450980400142568
2,sourced,1,1,2,6,0.6020599913279624,0.6020599913279624
2,standard,1,1,1,6,0.8450980400142568,0.8450980400142568
2,state,1,1,3,6,0.47712125471966244,0.47712125471966244
2,supervised,1,1,2,6,0.6020599913279624,0.6020599913279624
