token,n,N,log_factor
1,1,6,0.8450980400142568
10,3,6,0.47712125471966244
12,1,6,0.8450980400142568
175,1,6,0.8450980400142568
18,1,6,0.8450980400142568
20,1,6,0.8450980400142568
2019,1,6,0.8450980400142568
2020,1,6,0.8450980400142568
24,1,6,0.8450980400142568
3.5,1,6,0.8450980400142568
4,1,6,0.8450980400142568
4.2,1,6,0.8450980400142568
5,1,6,0.8450980400142568
50,1,6,0.8450980400142568
9,1,6,0.8450980400142568
ability,2,6,0.6020599913279624
achieve,2,6,0.6020599913279624
achieves,1,6,0.8450980400142568
actions,1,6,0.8450980400142568
adapted,1,6,0.8450980400142568
adaptively,1,6,0.8450980400142568
address,1,6,0.8450980400142568
advancing,1,6,0.8450980400142568
advantage,1,6,0.8450980400142568
aggregation,1,6,0.8450980400142568
aimed,1,6,0.8450980400142568
aims,1,6,0.8450980400142568
aligns,1,6,0.8450980400142568
allow,1,6,0.8450980400142568
allows,1,6,0.8450980400142568
alpaca,1,6,0.8450980400142568
also,2,6,0.6020599913279624
although,1,6,0.8450980400142568
analysis,1,6,0.8450980400142568
analyze,1,6,0.8450980400142568
aol,1,6,0.8450980400142568
approach,4,6,0.3979400086720376
approaches,1,6,0.8450980400142568
argue,1,6,0.8450980400142568
art,3,6,0.47712125471966244
attempt,1,6,0.8450980400142568
author,1,6,0.8450980400142568
automatically,1,6,0.8450980400142568
average,1,6,0.8450980400142568
b,1,6,0.8450980400142568
based,6,6,0.3010299956639812
baseline,1,6,0.8450980400142568
baselines,1,6,0.8450980400142568
beir,2,6,0.6020599913279624
benchmark,3,6,0.47712125471966244
benchmarks,2,6,0.6020599913279624
benefited,1,6,0.8450980400142568
best,1,6,0.8450980400142568
better,1,6,0.8450980400142568
blackbox,1,6,0.8450980400142568
books,1,6,0.8450980400142568
boosting,1,6,0.8450980400142568
bridge,1,6,0.8450980400142568
bridges,1,6,0.8450980400142568
burden,1,6,0.8450980400142568
called,1,6,0.8450980400142568
candidate,1,6,0.8450980400142568
capability,1,6,0.8450980400142568
captivate,1,6,0.8450980400142568
capture,2,6,0.6020599913279624
capturing,2,6,0.6020599913279624
cast,1,6,0.8450980400142568
challenging,1,6,0.8450980400142568
chatgpt,1,6,0.8450980400142568
clustering,1,6,0.8450980400142568
clusters,1,6,0.8450980400142568
coarse,1,6,0.8450980400142568
combination,1,6,0.8450980400142568
combine,1,6,0.8450980400142568
