token,n,N,log_factor
1,1,6,0.8450980400142568
10,3,6,0.47712125471966244
12,1,6,0.8450980400142568
175,1,6,0.8450980400142568
18,1,6,0.8450980400142568
20,1,6,0.8450980400142568
2019,1,6,0.8450980400142568
2020,1,6,0.8450980400142568
24,1,6,0.8450980400142568
3.5,1,6,0.8450980400142568
4,1,6,0.8450980400142568
4.2,1,6,0.8450980400142568
5,1,6,0.8450980400142568
50,1,6,0.8450980400142568
9,1,6,0.8450980400142568
abil,2,6,0.6020599913279624
achiev,3,6,0.47712125471966244
action,1,6,0.8450980400142568
adapt,1,6,0.8450980400142568
address,1,6,0.8450980400142568
advanc,1,6,0.8450980400142568
advantag,1,6,0.8450980400142568
aggreg,1,6,0.8450980400142568
aim,2,6,0.6020599913279624
align,1,6,0.8450980400142568
allow,2,6,0.6020599913279624
alpaca,1,6,0.8450980400142568
also,2,6,0.6020599913279624
although,1,6,0.8450980400142568
analysi,1,6,0.8450980400142568
analyz,1,6,0.8450980400142568
aol,1,6,0.8450980400142568
approach,4,6,0.3979400086720376
argu,1,6,0.8450980400142568
art,3,6,0.47712125471966244
attempt,1,6,0.8450980400142568
author,1,6,0.8450980400142568
automat,1,6,0.8450980400142568
averag,1,6,0.8450980400142568
b,1,6,0.8450980400142568
base,6,6,0.3010299956639812
baselin,1,6,0.8450980400142568
beir,2,6,0.6020599913279624
benchmark,4,6,0.3979400086720376
benefit,1,6,0.8450980400142568
best,1,6,0.8450980400142568
better,1,6,0.8450980400142568
blackbox,1,6,0.8450980400142568
book,1,6,0.8450980400142568
boost,1,6,0.8450980400142568
bridg,2,6,0.6020599913279624
burden,1,6,0.8450980400142568
call,1,6,0.8450980400142568
candid,1,6,0.8450980400142568
capabl,1,6,0.8450980400142568
captiv,1,6,0.8450980400142568
captur,2,6,0.6020599913279624
cast,1,6,0.8450980400142568
challeng,1,6,0.8450980400142568
chatgpt,1,6,0.8450980400142568
cluster,1,6,0.8450980400142568
coars,1,6,0.8450980400142568
combin,2,6,0.6020599913279624
commerci,1,6,0.8450980400142568
commun,1,6,0.8450980400142568
compar,1,6,0.8450980400142568
competit,1,6,0.8450980400142568
complet,1,6,0.8450980400142568
complex,2,6,0.6020599913279624
comprehens,1,6,0.8450980400142568
compris,1,6,0.8450980400142568
concis,1,6,0.8450980400142568
concret,1,6,0.8450980400142568
conduct,1,6,0.8450980400142568
confirm,1,6,0.8450980400142568
