token,n,N,log_factor
1,1,6,0.8450980400142568
10,3,6,0.47712125471966244
12,1,6,0.8450980400142568
175,1,6,0.8450980400142568
18,1,6,0.8450980400142568
20,1,6,0.8450980400142568
2019,1,6,0.8450980400142568
2020,1,6,0.8450980400142568
24,1,6,0.8450980400142568
3.5,1,6,0.8450980400142568
4,1,6,0.8450980400142568
4.2,1,6,0.8450980400142568
5,1,6,0.8450980400142568
50,1,6,0.8450980400142568
9,1,6,0.8450980400142568
abl,2,6,0.6020599913279624
achiev,3,6,0.47712125471966244
act,1,6,0.8450980400142568
adapt,1,6,0.8450980400142568
address,1,6,0.8450980400142568
adv,2,6,0.6020599913279624
aggreg,1,6,0.8450980400142568
aim,2,6,0.6020599913279624
align,1,6,0.8450980400142568
allow,2,6,0.6020599913279624
alpac,1,6,0.8450980400142568
also,2,6,0.6020599913279624
although,1,6,0.8450980400142568
analys,2,6,0.6020599913279624
aol,1,6,0.8450980400142568
approach,4,6,0.3979400086720376
argu,1,6,0.8450980400142568
art,3,6,0.47712125471966244
attempt,1,6,0.8450980400142568
auth,1,6,0.8450980400142568
autom,1,6,0.8450980400142568
av,1,6,0.8450980400142568
b,1,6,0.8450980400142568
bas,6,6,0.3010299956639812
baselin,1,6,0.8450980400142568
beir,2,6,0.6020599913279624
benchmark,4,6,0.3979400086720376
benefit,1,6,0.8450980400142568
best,1,6,0.8450980400142568
bet,1,6,0.8450980400142568
blackbox,1,6,0.8450980400142568
book,1,6,0.8450980400142568
boost,1,6,0.8450980400142568
bridg,2,6,0.6020599913279624
burd,1,6,0.8450980400142568
cal,1,6,0.8450980400142568
candid,1,6,0.8450980400142568
cap,1,6,0.8450980400142568
capt,3,6,0.47712125471966244
cast,1,6,0.8450980400142568
challeng,1,6,0.8450980400142568
chatgpt,1,6,0.8450980400142568
clust,1,6,0.8450980400142568
coars,1,6,0.8450980400142568
combin,2,6,0.6020599913279624
commerc,1,6,0.8450980400142568
commun,1,6,0.8450980400142568
comp,1,6,0.8450980400142568
competit,1,6,0.8450980400142568
complet,1,6,0.8450980400142568
complex,2,6,0.6020599913279624
compr,1,6,0.8450980400142568
comprehend,1,6,0.8450980400142568
concret,1,6,0.8450980400142568
conduc,1,6,0.8450980400142568
confirm,1,6,0.8450980400142568
consid,1,6,0.8450980400142568
consist,1,6,0.8450980400142568
constrain,1,6,0.8450980400142568
consum,1,6,0.8450980400142568
